Startdatum,Starttid,Slutdatum,Sluttid,Lokal,Plats,Undervisningstyp,"Grupp,Helklass",Kurs,Delkurs,Moment,Person,Egen text,Anmärkning,Utrustning 
2023-10-06,09:00,2023-10-06,16:00,MC529 - Designstudio,,Redovisning,,"Design, innovation och kreativitet",Designmetoder och kreativa processer,,"Fatima Jonsson,Sofia Lundmark,Vincent Demargne",,,
2023-10-09,10:00,2023-10-09,12:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Kreativ programmering,,"Martin Jonsson,Mats Nilsson",,,
2023-10-09,13:00,2023-10-09,15:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-10,10:00,2023-10-10,12:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-10,13:00,2023-10-10,15:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-11,10:00,2023-10-11,12:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Kreativ programmering,,,,,
2023-10-11,13:00,2023-10-11,15:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Kreativ programmering,,,,,
2023-10-12,10:00,2023-10-12,12:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-12,13:00,2023-10-12,15:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-13,10:00,2023-10-13,12:00,MC529 - Designstudio,,Redovisning,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-13,13:00,2023-10-13,15:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Kreativ programmering,,,,,
2023-10-16,10:00,2023-10-16,12:00,MC529 - Designstudio,,Föreläsning,,"Design, innovation och kreativitet",Kreativ programmering,,"Martin Jonsson,Mats Nilsson",,,
2023-10-16,13:00,2023-10-16,15:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-17,10:00,2023-10-17,12:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-17,13:00,2023-10-17,15:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-18,10:00,2023-10-18,12:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Kreativ programmering,,,,,
2023-10-18,13:00,2023-10-18,15:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Kreativ programmering,,,,,
2023-10-19,10:00,2023-10-19,12:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-19,13:00,2023-10-19,15:00,MC529 - Designstudio,,Laboration,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-20,10:00,2023-10-20,12:00,MC529 - Designstudio,,Redovisning,,"Design, innovation och kreativitet",Kreativ programmering,,Mats Nilsson,,,
2023-10-20,13:00,2023-10-20,15:00,MC529 - Designstudio,,Eget arbete,,"Design, innovation och kreativitet",Kreativ programmering,,,,,
